Port,TCP,UDP,Description
198,Assigned,Assigned,Directory Location Service Monitor
199,Yes,Yes,SNMP Unix Multiplexer (SMUX)[80]
200,Assigned,Assigned,IBM System Resource Controller
201,Yes,Yes,AppleTalk Routing Maintenance
209,Yes,Assigned,Quick Mail Transfer Protocol[81][self-published source]
210,Yes,Yes,ANSI Z39.50
213,Yes,Yes,Internetwork Packet Exchange (IPX)
218,Yes,Yes,Message posting protocol (MPP)
220,Yes,Yes,Internet Message Access Protocol (IMAP), version 3
225–241,Reserved,Reserved,
249–255,Reserved,Reserved,
259,Yes,Yes,Efficient Short Remote Operations (ESRO)
262,Yes,Yes,Arcisdms
264,Yes,Yes,Border Gateway Multicast Protocol (BGMP)
280,Yes,Yes,http-mgmt
300,Unofficial,,ThinLinc Web Access
308,Yes,,Novastor Online Backup
311,Yes,Assigned,macOS Server Admin[11] (officially AppleShare IP Web administration[2])
312,Unofficial,No,macOS Xsan administration[11]
318,Yes,Yes,PKIX Time Stamp Protocol (TSP)
319,,Yes,Precision Time Protocol (PTP) event messages
320,,Yes,Precision Time Protocol (PTP) general messages
350,Yes,Yes,Mapping of Airline Traffic over Internet Protocol (MATIP) type A
351,Yes,Yes,MATIP type B
356,Yes,Yes,cloanto-net-1 (used by Cloanto Amiga Explorer and VMs)
366,Yes,Yes,On-Demand Mail Relay (ODMR)
369,Yes,Yes,Rpc2portmap
370,Yes,Yes,codaauth2, Coda authentication server
371,Yes,Yes,ClearCase albd
376,Yes,Yes,Amiga Envoy Network Inquiry Protocol
383,Yes,Yes,HP data alarm manager
384,Yes,Yes,A Remote Network Server System
387,Yes,Yes,AURP (AppleTalk Update-based Routing Protocol)[83]
388,Yes,Assigned,Unidata LDM near real-time data distribution protocol[84][self-published source][85][self-published source]
389,Yes,Assigned,Lightweight Directory Access Protocol (LDAP)[11]
399,Yes,Yes,Digital Equipment Corporation DECnet+ (Phase V) over TCP/IP (RFC1859)
401,Yes,Yes,Uninterruptible power supply (UPS)
427,Yes,Yes,Service Location Protocol (SLP)[11]
433,Yes,Yes,NNTP, part of Network News Transfer Protocol
434,Yes,Yes,Mobile IP Agent (RFC 5944)
443,Yes,Yes,Hypertext Transfer Protocol Secure (HTTPS)[48][49] uses TCP in versions 1.x and 2. HTTP/3 uses QUIC,[50] a transport protocol on top of UDP.
444,Yes,Yes,Simple Network Paging Protocol (SNPP), RFC 1568
445,Yes,Yes,Microsoft-DS (Directory Services) Active Directory,[86] Windows shares
464,Yes,Yes,Kerberos Change/Set password
465[note 1],Yes,No,SMTP over implicit SSL (obsolete)[87]
475,Yes,Yes,tcpnethaspsrv, Aladdin Knowledge Systems Hasp services
476–490,Unofficial,Unofficial,Centro Software ERP ports
491,Unofficial,,GO-Global remote access and application publishing software
497,Yes,Yes,Retrospect
500,Assigned,Yes,Internet Security Association and Key Management Protocol (ISAKMP) / Internet Key Exchange (IKE)[11]
502,Yes,Yes,Modbus Protocol
504,Yes,Yes,Citadel, multiservice protocol for dedicated clients for the Citadel groupware system
510,Yes,Yes,FirstClass Protocol (FCP), used by FirstClass client/server groupware system
512,Yes,,Rexec, Remote Process Execution
513,Yes,,rlogin
514,Unofficial,,Remote Shell, used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh)
515,Yes,Assigned,Line Printer Daemon (LPD),[11] print service
517,,Yes,Talk
518,,Yes,NTalk
520,Yes,,efs, extended file name server
521,,Yes,Routing Information Protocol Next Generation (RIPng)
524,Yes,Yes,NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc.
525,,Yes,Timed, Timeserver
530,Yes,Yes,Remote procedure call (RPC)
532,Yes,Assigned,netnews[11]
533,,Yes,netwall, for emergency broadcasts
540,Yes,,Unix-to-Unix Copy Protocol (UUCP)
542,Yes,Yes,commerce (Commerce Applications)
543,Yes,,klogin, Kerberos login
544,Yes,,kshell, Kerberos Remote shell
546,Yes,Yes,DHCPv6 client
547,Yes,Yes,DHCPv6 server
548,Yes,Assigned,Apple Filing Protocol (AFP) over TCP[11]
550,Yes,Yes,new-rwho, new-who[90]
554,Yes,Yes,Real Time Streaming Protocol (RTSP)[11]
556,Yes,,Remotefs, RFS, rfs_server
560,,Yes,rmonitor, Remote Monitor
561,,Yes,monitor
563,Yes,Yes,NNTP over TLS/SSL (NNTPS)
564,Unofficial,,9P (Plan 9)
585,No,No,Previously assigned for use of Internet Message Access Protocol over TLS/SSL (IMAPS), now deregisterd in favour of port 993.[91]
587,Yes,Assigned,email message submission[11][92] (SMTP)
591,Yes,,FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80)
593,Yes,Yes,HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server
601,Yes,,Reliable Syslog Service — used for system logging
604,Yes,,TUNNEL profile,[93] a protocol for BEEP peers to form an application layer tunnel
623,,Yes,ASF Remote Management and Control Protocol (ASF-RMCP) & IPMI Remote Management Protocol
625,Unofficial,No,Open Directory Proxy (ODProxy)[11]
631,Yes,Yes,Internet Printing Protocol (IPP)[11]
635,Yes,Yes,RLZ DBase
636,Yes,Assigned,Lightweight Directory Access Protocol over TLS/SSL (LDAPS)[11]
639,Yes,Yes,Multicast Source Discovery Protocol, MSDP
641,Yes,Yes,SupportSoft Nexus Remote Command (control/listening), a proxy gateway connecting remote control traffic
643,Yes,Yes,SANity
646,Yes,Yes,Label Distribution Protocol (LDP), a routing protocol used in MPLS networks
647,Yes,,DHCP Failover protocol[94]
648,Yes,,Registry Registrar Protocol (RRP)[95]
651,Yes,Yes,IEEE-MMS
653,Yes,Yes,SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic
654,Yes,,Media Management System (MMS) Media Management Protocol (MMP)[96]
655,Yes,Yes,Tinc VPN daemon
657,Yes,Yes,IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM)[97] and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration
660,Yes,Assigned,macOS Server administration,[2] version 10.4 and earlier[11]
666,Yes,Yes,Doom, the first online first-person shooter
674,Yes,,Application Configuration Access Protocol (ACAP)
688,Yes,Yes,REALM-RUSD (ApplianceWare Server Appliance Management Protocol)
690,Yes,Yes,Velneo Application Transfer Protocol (VATP)
691,Yes,,MS Exchange Routing
694,Yes,Yes,Linux-HA high-availability heartbeat
695,Yes,,IEEE Media Management System over SSL (IEEE-MMS-SSL)[98]
698,,Yes,Optimized Link State Routing (OLSR)
700,Yes,,Extensible Provisioning Protocol (EPP), a protocol for communication between domain name registries and registrars (RFC 5734)
701,Yes,,Link Management Protocol (LMP),[99] a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links
702,Yes,,IRIS[100][101] (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol)[102] (RFC 3983)
706,Yes,,Secure Internet Live Conferencing (SILC)
711,Yes,,Cisco Tag Distribution Protocol[103][104][105]—being replaced by the MPLS Label Distribution Protocol[106]
712,Yes,,Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF; RFC 3684)
749,Yes,Yes,Kerberos administration[11]
750,,Yes,kerberos-iv, Kerberos version IV
751,Unofficial,Unofficial,kerberos_master, Kerberos authentication
752,,Unofficial,passwd_server, Kerberos password (kpasswd) server
753,Yes,Yes,Reverse Routing Header (RRH)[107]
754,Yes,Yes,tell send
760,Unofficial,Unofficial,krbupdate [kreg], Kerberos registration
782,Unofficial,,Conserver serial-console management server
783,Unofficial,,SpamAssassin spamd daemon
800,Yes,Yes,mdbs-daemon
802,Yes,Yes,MODBUS/TCP Security[108]
808,Unofficial,,Microsoft Net.TCP Port Sharing Service
829,Yes,Assigned,Certificate Management Protocol[109]
830,Yes,Yes,NETCONF over SSH
831,Yes,Yes,NETCONF over BEEP
832,Yes,Yes,NETCONF for SOAP over HTTPS
833,Yes,Yes,NETCONF for SOAP over BEEP
843,Unofficial,,Adobe Flash[110]
847,Yes,,DHCP Failover protocol
848,Yes,Yes,Group Domain Of Interpretation (GDOI) protocol
853,Yes,,DNS over TLS (RFC 7858)
860,Yes,,iSCSI (RFC 3720)
861,Yes,Yes,OWAMP control (RFC 4656)
862,Yes,Yes,TWAMP control (RFC 5357)
873,Yes,,rsync file synchronization protocol
888,Unofficial,,cddbp, CD DataBase (CDDB) protocol (CDDBP)
897,Unofficial,Unofficial,Brocade SMI-S RPC
898,Unofficial,Unofficial,Brocade SMI-S RPC SSL
902,Unofficial,Unofficial,VMware ESXi[112][113]
903,Unofficial,,VMware ESXi[112][113]
953,Yes,Reserved,BIND remote name daemon control (RNDC)[114][115]
981,Unofficial,,Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software[116]
987,,Unofficial,Sony PlayStation Wake On Lan
988,Unofficial,,Lustre (file system)[118] Protocol (data).
989,Yes,Yes,FTPS Protocol (data), FTP over TLS/SSL
990,Yes,Yes,FTPS Protocol (control), FTP over TLS/SSL
991,Yes,Yes,Netnews Administration System (NAS)[119]
992,Yes,Yes,Telnet protocol over TLS/SSL
993,Yes,Assigned,Internet Message Access Protocol over TLS/SSL (IMAPS)[11]
994,Reserved,Reserved,Previously assigned to Internet Relay Chat over TLS/SSL (IRCS), but was not used in common practice.
995,Yes,Yes,Post Office Protocol 3 over TLS/SSL (POP3S)[11]
1010,Unofficial,,ThinLinc web-based administration interface[120]
1011–1020,Reserved,Reserved,
1023,Reserved,Reserved,[2]
